,Date,Last Price,Volume,SMAVG (15),Unnamed: 4
173,1/19/21,3798.91,683059328,627251776,
174,1/20/21,3851.85,644495104,641603776,
175,1/21/21,3853.07,620776704,654396928,
176,1/22/21,3841.47,621451008,668371584,
177,1/25/21,3855.36,675231360,680081600,
178,1/26/21,3849.62,590568064,668676224,
179,1/27/21,3750.77,967706368,692936768,
180,1/28/21,3787.38,846769920,694213824,
181,1/29/21,3714.24,1022917120,715336192,
182,2/1/21,3773.86,630171712,714028928,
183,2/2/21,3826.31,647254400,716271680,
184,2/3/21,3830.17,617247552,713517312,
185,2/4/21,3871.74,611413696,713960320,
186,2/5/21,3886.83,537391424,704574656,
187,2/8/21,3915.59,573323008,685985088,
188,2/9/21,3911.23,485445856,672810880,
189,2/10/21,3909.88,559418176,667139072,
190,2/11/21,3916.38,586186496,664833088,
191,2/12/21,3934.83,458852288,653993152,
192,2/16/21,3932.59,593684480,648556672,
193,2/17/21,3931.33,542976256,645383936,
194,2/18/21,3913.97,520398464,615563392,
195,2/19/21,3906.71,665244928,603461696,
196,2/22/21,3876.5,692050944,581403968,
197,2/23/21,3881.37,755513152,589760064,
198,2/24/21,3925.43,697584256,593115392,
199,2/25/21,3829.34,712863872,599489792,
200,2/26/21,3811.15,961817664,622850112,
201,3/1/21,3901.82,633792512,629276800,
202,3/2/21,3870.29,633092928,633261504,
203,3/3/21,3819.72,684624448,646540032,
204,3/4/21,3768.47,851214144,665993152,
205,3/5/21,3841.94,829073408,682185600,
206,3/8/21,3821.35,756663296,702039680,
207,3/9/21,3875.44,709867520,709785216,
208,3/10/21,3898.81,670320896,718274816,
209,3/11/21,3939.34,633849728,725838272,
210,3/12/21,3943.34,590613504,720862848,
211,3/15/21,3968.94,599944960,714722432,
212,3/16/21,3962.71,606621312,704796288,
213,3/17/21,3974.12,652793728,701810240,
214,3/18/21,3915.46,700494720,700985664,
215,3/19/21,3913.1,2323804160,791784768,
216,3/22/21,3940.59,677313664,794686144,
217,3/23/21,3910.52,666674304,796924928,
218,3/24/21,3889.14,612118400,792091200,
219,3/25/21,3909.52,632391616,777503040,
220,3/26/21,3974.54,719734912,770213760,
221,3/29/21,3971.09,636567104,762207360,
222,3/30/21,3958.55,549283712,751501760,
223,3/31/21,3972.89,790771520,759531840,
224,4/1/21,4019.87,549284544,753894144,
225,4/5/21,4077.91,594159808,754130560,
226,4/6/21,4073.94,571848576,752257472,
227,4/7/21,4079.95,489011104,744416768,
228,4/8/21,4097.17,542499584,737063872,
229,4/9/21,4128.8,510310240,724384896,
230,4/12/21,4127.99,526549664,604567936,
231,4/13/21,4141.59,523803680,594333888,
232,4/14/21,4124.66,547124416,586363904,
233,4/15/21,4170.42,556701824,582669504,
234,4/16/21,4185.47,670059968,585180736,
235,4/19/21,4163.26,545994752,573598016,
236,4/20/21,4134.94,542835776,567349248,
237,4/21/21,4173.42,552948864,567593600,
238,4/22/21,4134.98,586661632,553986304,
239,4/23/21,4180.17,530028544,552702592,
240,4/26/21,4187.62,535480160,548790592,
241,4/27/21,4186.72,518564000,545238272,
242,4/28/21,4183.18,555786112,549689920,
243,4/29/21,4211.47,603848000,553779840,
244,4/30/21,4181.17,738271680,568977280,
245,5/3/21,4192.66,574622080,572182080,
246,5/4/21,4164.66,647398656,580421760,
247,5/5/21,4167.59,574161152,582224192,
248,5/6/21,4201.62,601702912,585224256,
249,5/7/21,4232.6,541938368,576682816,
250,5/10/21,4188.43,627898368,582143104,
251,5/11/21,4152.1,601429056,586049280,
252,5/12/21,4063.04,652754688,592703040,
253,5/13/21,4112.5,574425408,591887296,
254,5/14/21,4173.85,501702752,589998912,
255,5/17/21,4163.29,571758336,592417408,
256,5/18/21,4127.83,582592448,596686016,
257,5/19/21,4115.68,669726656,604282048,
258,5/20/21,4159.12,570286976,602044608,
259,5/21/21,4155.86,661555904,596930240,
260,5/24/21,4197.05,491196288,591368512,
261,5/25/21,4188.13,536415456,583969664,
262,5/26/21,4195.99,565352448,583382400,
263,5/27/21,4200.88,1294689920,629581568,
264,5/28/21,4204.11,583005888,632319360,
265,6/1/21,4202.04,556072384,627530944,
266,6/2/21,4208.12,552370496,624260416,
267,6/3/21,4192.85,560056000,618080512,
268,6/4/21,4229.89,465931744,610847552,
269,6/7/21,4226.52,467143648,608543616,
270,6/8/21,4227.26,582092992,609232640,
271,6/9/21,4219.55,490279648,603078400,
272,6/10/21,4239.18,514102432,592703488,
273,6/11/21,4247.44,466454816,585781312,
274,6/14/21,4255.15,502609184,575184896,
275,6/15/21,4246.59,496016800,575506240,
276,6/16/21,4223.7,608208064,580292416,
277,6/17/21,4221.86,692607232,588776064,
278,6/18/21,4166.45,1602813312,609317632,
279,6/21/21,4224.79,585617088,609491712,
280,6/22/21,4246.44,518151264,606963648,
281,6/23/21,4241.84,476502784,601905792,
282,6/24/21,4266.49,488899264,597162048,
283,6/25/21,4280.7,1020842112,634156032,
284,6/28/21,4290.61,534470528,638644480,
285,6/29/21,4291.8,464266880,630789440,
286,6/30/21,4297.5,586723584,637219008,
287,7/1/21,4319.94,491252672,635695680,
288,7/2/21,4352.34,433797312,633518528,
289,7/6/21,4343.54,579836352,638667008,
290,7/7/21,4358.13,518731264,640181312,
291,7/8/21,4320.82,562095232,637107136,
292,7/9/21,4369.55,517859168,625457280,
293,7/12/21,4384.63,480701632,550649792,
294,7/13/21,4369.21,447201120,541422080,
295,7/14/21,4374.3,526771616,541996800,
296,7/15/21,4360.03,514704192,544543552,
297,7/16/21,4327.16,587319424,551104896,
298,7/19/21,4258.49,724701568,531362176,
299,7/20/21,4323.06,692840000,541920128,
300,7/21/21,4358.69,558817216,548223488,
301,7/22/21,4367.48,457945728,539638272,
302,7/23/21,4411.79,443919168,536482720,
303,7/26/21,4422.3,497708192,540743488,
304,7/27/21,4401.46,531510816,537521728,
305,7/28/21,4400.64,533657984,538516864,
306,7/29/21,4419.15,491758912,533827776,
307,7/30/21,4395.26,704783616,546289408,
308,8/2/21,4387.16,505090816,547915328,
309,8/3/21,4423.15,557683072,555280832,
310,8/4/21,4402.66,577170880,558640768,
311,8/5/21,4429.1,488983008,556926016,
312,8/6/21,4436.52,475578816,549476672,
313,8/9/21,4432.35,445844768,530886208,
314,8/10/21,4436.75,463044800,515566528,
315,8/11/21,4447.7,474514080,509946304,
316,8/12/21,4460.83,424463072,507714144,
317,8/13/21,4468.0,375816896,503173984,
318,8/16/21,4479.71,462926336,500855200,
319,8/17/21,4448.08,471396864,496847584,
320,8/18/21,4400.27,481865280,493394752,
321,8/19/21,4405.8,542963200,496808352,
322,8/20/21,4441.67,525313568,484843712,
323,8/23/21,4479.53,475010304,482838336,
324,8/24/21,4486.23,431883776,474451712,
325,8/25/21,4496.19,491850144,468763648,
326,8/26/21,4470.0,417989408,464030752,
327,8/27/21,4509.37,432333056,461147712,
328,8/30/21,4528.79,416021088,459159456,
329,8/31/21,4522.68,715483264,475988704,
330,9/1/21,4524.09,479401088,476314496,
331,9/2/21,4536.95,463547520,478920128,
332,9/3/21,4535.43,414286336,481484736,
333,9/7/21,4520.03,484895712,482949376,
334,9/8/21,4514.07,467052480,482659744,
335,9/9/21,4493.28,463557760,481439232,
336,9/10/21,4458.58,490385728,477934080,
337,9/13/21,4468.73,545226240,479261600,
338,9/14/21,4443.05,530129920,482936224,
339,9/15/21,4480.7,609921408,494805408,
340,9/16/21,4473.75,531399520,497442048,
341,9/17/21,4432.99,1807659392,590086720,
342,9/20/21,4357.73,714928192,608926400,
343,9/21/21,4354.19,524522432,616159808,
344,9/22/21,4395.64,546603328,604901120,
345,9/23/21,4448.98,492031296,605743168,
346,9/24/21,4455.48,447148832,604649920,
347,9/27/21,4443.11,533785376,612616512,
348,9/28/21,4352.63,660042752,624292992,
349,9/29/21,4359.46,510256064,627173248,
350,9/30/21,4307.54,708255680,643486400,
351,10/1/21,4357.04,599123712,650735616,
352,10/4/21,4300.46,694916544,660714944,
353,10/5/21,4345.72,544456128,661670016,
354,10/6/21,4363.55,560551488,658378688,
355,10/7/21,4399.76,513804704,657205760,
356,10/8/21,4391.34,442878208,566220288,
357,10/11/21,4361.19,434331968,547513920,
358,10/12/21,4350.65,529787808,547864896,
359,10/13/21,4363.8,520806016,546145088,
360,10/14/21,4438.26,523662592,548253888,
361,10/15/21,4471.37,660923200,562505472,
362,10/18/21,4486.46,510061344,560923904,
363,10/19/21,4519.63,424917824,545248896,
364,10/20/21,4536.19,463182016,542110592,
365,10/21/21,4549.78,480161216,526904320,
366,10/22/21,4544.9,466677472,518074560,
367,10/25/21,4566.48,502385568,505239168,
368,10/26/21,4574.79,509930528,502937472,
369,10/27/21,4551.68,561003648,502967616,
370,10/28/21,4596.42,535840864,504436672,
371,10/29/21,4605.38,703313408,521799040,
372,11/1/21,4613.67,520161984,527521024,
373,11/2/21,4630.65,546276608,528620288,
374,11/3/21,4660.57,565270400,531584576,
375,11/4/21,4680.06,619826048,537995456,
376,11/5/21,4697.53,611250944,534684000,
377,11/8/21,4701.7,540240256,536695904,
378,11/9/21,4685.25,535583104,544073600,
379,11/10/21,4646.71,540677632,549240000,
380,11/11/21,4649.27,424400832,545522624,
381,11/12/21,4682.85,471249408,545827392,
382,11/15/21,4682.8,488967488,544932864,
383,11/16/21,4700.9,495076544,543942592,
384,11/17/21,4688.67,507249312,540358976,
385,11/18/21,4704.54,552099200,541442880,
386,11/19/21,4697.96,679610368,539862656,
387,11/22/21,4682.94,634155776,547462272,
388,11/23/21,4690.7,562663104,548554688,
389,11/24/21,4701.46,518402720,545430208,
390,11/26/21,4594.62,532795040,539628096,
391,11/29/21,4655.27,684025280,544479744,
392,11/30/21,4567.0,1494491648,608096512,
393,12/1/21,4513.04,759376576,623016064,
394,12/2/21,4577.1,769875008,638295872,
395,12/3/21,4538.43,730855424,658726208,
396,12/6/21,4591.67,688424640,673204544,
397,12/7/21,4686.75,685661376,686317440,
398,12/8/21,4701.21,574428672,691607616,
399,12/9/21,4667.45,511811264,691911744,
400,12/10/21,4712.02,543943488,691368000,
401,12/13/21,4668.97,675622208,691102144,
402,12/14/21,4634.09,720179712,696837056,
403,12/15/21,4709.85,697670016,705837568,
404,12/16/21,4668.67,754929152,721605952,
405,12/17/21,4620.64,2106461568,826517056,
406,12/20/21,4568.02,681243776,826331648,
407,12/21/21,4649.23,620141376,768041600,
408,12/22/21,4696.56,456478336,747848384,
409,12/23/21,4725.79,433265184,725407744,
410,12/27/21,4791.19,394681056,702996096,
411,12/28/21,4786.35,356766656,680885568,
412,12/29/21,4793.06,366001664,659574912,
413,12/30/21,4778.73,331532832,643381888,
414,12/31/21,4766.18,422911008,637455232,
415,1/3/22,4796.56,586380416,640284352,
416,1/4/22,4793.54,696748096,641692736,
417,1/5/22,4700.58,729435712,642309760,
418,1/6/22,4696.05,624580032,637437120,
419,1/7/22,4677.03,633523584,629343424,
420,1/10/22,4670.29,727218816,537393920,
421,1/11/22,4713.07,577885632,530503360,
422,1/12/22,4726.35,541651904,525270720,
423,1/13/22,4659.03,584414848,533799840,
424,1/14/22,4662.85,636663744,547359744,
425,1/18/22,4577.11,753096576,571254080,
426,1/19/22,4532.76,636487936,589902208,
427,1/20/22,4482.73,636160000,607912768,
428,1/21/22,4397.94,943246528,648693632,
429,1/24/22,4410.13,1051278016,690584768,
430,1/25/22,4356.45,822737792,706341952,
431,1/26/22,4349.93,833935680,715487808,
432,1/27/22,4326.51,762182336,717670912,
433,1/28/22,4431.85,741272704,725450432,
434,1/31/22,4515.55,978232000,748430976,
435,2/1/22,4546.54,693891136,746209152,
436,2/2/22,4589.38,769385280,758975744,
437,2/3/22,4477.44,701665536,769643328,
438,2/4/22,4500.53,667033024,775151232,
439,2/7/22,4483.87,605777600,773092160,
440,2/8/22,4521.54,603438592,763114944,
441,2/9/22,4587.18,604072896,760953920,
442,2/10/22,4504.08,665777792,762928448,
443,2/11/22,4418.64,759825856,750700416,
444,2/14/22,4401.67,685108736,726289152,
445,2/15/22,4471.07,597267584,711257792,
446,2/16/22,4475.01,592449856,695158720,
447,2/17/22,4380.26,600019328,684347840,
448,2/18/22,4348.87,791007296,687663488,
449,2/22/22,4304.76,719202688,670394880,
450,2/23/22,4225.5,665717440,668516608,
451,2/24/22,4288.7,991044160,683293888,
