,Date,Last Price,Open Price,High Price,Low Price,Volume
117,10/27/2020,424.68,423.76,430.5,420.1,22686506
118,10/28/2020,406.02,416.48,418.6,406.0,25451408
119,10/29/2020,410.83,409.96,418.06,406.46,22655308
120,10/30/2020,388.04,406.895,407.591,379.11,42587640
121,11/2/2020,400.51,394.0,406.98,392.3,29021118
122,11/3/2020,423.9,409.73,427.77,406.69,34351716
123,11/4/2020,420.98,430.62,435.4,417.1,32143056
124,11/5/2020,438.09,428.3,440.0,424.0,28414524
125,11/6/2020,429.95,436.1,436.57,424.28,21706014
126,11/9/2020,421.26,439.5,452.5,421.0,34833024
127,11/10/2020,410.36,420.09,420.09,396.03,30284224
128,11/11/2020,417.13,416.45,418.695,410.58,17357722
129,11/12/2020,411.76,415.05,423.0,409.52,19940500
130,11/13/2020,408.5,410.85,412.532,401.66,19830352
131,11/16/2020,408.09,408.93,412.45,404.087,26838636
132,11/17/2020,441.61,460.17,462.0,433.01,61188280
133,11/18/2020,486.64,448.35,496.0,443.5,78044024
134,11/19/2020,499.27,492.0,508.611,487.57,62475344
135,11/20/2020,489.61,497.99,502.5,489.06,32911922
136,11/23/2020,521.85,503.5,526.0,501.79,50260304
137,11/24/2020,555.38,540.4,559.99,526.2,53648496
138,11/25/2020,574.0,550.06,574.0,545.37,48930160
139,11/27/2020,585.76,581.16,598.78,578.45,37561080
140,11/30/2020,567.6,602.21,607.8,554.51,63003052
141,12/1/2020,584.76,597.59,597.85,572.05,40382832
142,12/2/2020,568.82,556.44,571.54,541.21,47775652
143,12/3/2020,593.38,590.02,598.97,582.43,42552004
144,12/4/2020,599.04,591.01,599.04,585.5,29401314
145,12/7/2020,641.76,604.92,648.786,603.05,56309708
146,12/8/2020,649.88,625.505,651.28,618.5,64265028
147,12/9/2020,604.48,653.69,654.32,588.0,71291192
148,12/10/2020,627.07,574.37,627.75,566.34,67083152
149,12/11/2020,609.99,615.01,624.0,596.8,46474976
150,12/14/2020,639.83,619.0,642.75,610.2,52040648
151,12/15/2020,633.25,643.28,646.9,623.8,45223560
152,12/16/2020,622.77,628.23,632.5,605.0,42095812
153,12/17/2020,655.9,628.19,658.82,619.5,56270144
154,12/18/2020,695.0,668.9,695.0,628.54,222126192
155,12/21/2020,649.86,666.24,668.5,646.07,58045264
156,12/22/2020,640.34,648.0,649.88,614.23,51861644
157,12/23/2020,645.98,632.2,651.5,622.57,33172972
158,12/24/2020,661.77,642.99,666.09,641.0,22865568
159,12/28/2020,663.69,674.51,681.4,660.8,32278560
160,12/29/2020,665.99,661.0,669.9,655.0,22910812
161,12/30/2020,694.78,672.0,696.6,668.36,42846020
162,12/31/2020,705.67,699.99,718.72,691.12,49649928
163,1/4/2021,729.77,719.46,744.49,717.19,48638188
164,1/5/2021,735.11,723.66,740.84,719.2,32245164
165,1/6/2021,755.98,758.49,774.0,749.1,44699964
166,1/7/2021,816.04,777.63,816.99,775.2,51498948
167,1/8/2021,880.02,856.0,884.49,838.39,75055528
168,1/11/2021,811.19,849.4,854.43,803.622,59554144
169,1/12/2021,849.44,831.0,868.0,827.34,46270720
170,1/13/2021,854.41,852.76,860.47,832.0,33312496
171,1/14/2021,845.0,843.39,863.0,838.75,31266328
172,1/15/2021,826.16,852.0,859.9,819.1,38777596
173,1/19/2021,844.55,837.8,850.0,833.0,25366980
174,1/20/2021,850.45,858.74,859.5,837.28,25665884
175,1/21/2021,844.99,855.0,855.72,841.42,20598132
176,1/22/2021,846.64,834.31,848.0,828.62,20066496
177,1/25/2021,880.8,855.0,900.4,838.82,41173396
178,1/26/2021,883.09,891.38,895.9,871.6,23131604
179,1/27/2021,864.16,870.35,891.5,858.66,27333956
180,1/28/2021,835.43,820.0,848.0,801.0,26378048
181,1/29/2021,793.53,830.0,842.41,780.1,34990752
182,2/1/2021,839.81,814.29,842.0,795.56,25391384
183,2/2/2021,872.79,844.68,880.5,842.201,24346212
184,2/3/2021,854.69,877.02,878.08,853.065,18343510
185,2/4/2021,849.99,855.0,856.5,833.42,15812661
186,2/5/2021,852.23,845.0,864.77,838.97,18566636
187,2/8/2021,863.42,869.67,877.77,854.75,20161720
188,2/9/2021,849.46,855.12,859.8,841.75,15157651
189,2/10/2021,804.82,843.635,844.82,800.02,36216088
190,2/11/2021,811.66,812.44,829.88,801.725,21622752
191,2/12/2021,816.12,801.26,817.33,785.331,23768312
192,2/16/2021,796.22,818.0,821.0,792.44,19802324
193,2/17/2021,798.15,779.09,799.84,762.01,26078898
194,2/18/2021,787.38,780.9,794.69,776.27,17957058
195,2/19/2021,781.3,795.0,796.79,777.37,18958256
196,2/22/2021,714.5,762.64,768.5,710.2,37269716
197,2/23/2021,698.84,662.13,713.61,619.0,66606880
198,2/24/2021,742.02,711.85,745.0,694.17,36766952
199,2/25/2021,682.22,726.15,737.207,670.58,39023856
200,2/26/2021,675.5,700.0,706.7,659.51,41089172
201,3/1/2021,718.43,690.11,872.0,685.05,27136240
202,3/2/2021,686.44,718.28,721.11,685.0,23732158
203,3/3/2021,653.2,687.99,700.7,651.705,30207960
204,3/4/2021,621.44,655.8,873.94,600.0,65919528
205,3/5/2021,597.95,626.06,627.842,539.49,89396456
206,3/8/2021,563.0,600.55,620.125,558.79,51786960
207,3/9/2021,673.58,608.18,678.09,595.21,67523328
